Month/Year,Tmax (oC),Tmin (oC),AirFrost (Days),Rain (mm),Sun (Hours),Notes
Apr-10,13.6,5.2,1,80.9,151.4,
May-10,15.7,6.8,0,17.2,195.6,
Jun-10,20.2,11.2,0,29.7,193.5,
Jul-10,18.5,12.6,0,131.7,113,
Aug-10,18.5,11,0,71.3,170.4,
Sep-10,17,10.3,0,132.8,136.2,
Oct-10,12.9,7,1,121.8,100.3,
Nov-10,7.1,1.9,10,112.8,58.6,
Dec-10,1.6,-4.4,25,45,41.7,
Jan-11,5.9,1,11,101.7,51.6,
Feb-11,8.3,2.4,4,166.8,51.5,
Mar-11,9.5,2.3,3,81.3,77,
Apr-11,15.7,6.4,1,53.9,192.6,Estimated
May-11,15,7.5,0,145.7,174.9,Estimated
Jun-11,16.8,9,0,87.7,163.7,Estimated
Jul-11,20.3,10.5,0,80.4,254.4,Estimated
Aug-11,17.9,10.8,0,126.1,119.2,Estimated
Sep-11,16.8,10.4,0,153,117.7,Estimated
Oct-11,13.6,8.5,0,188.3,52.3,Estimated
Nov-11,11.8,5.9,3,180.1,53.2,Estimated
Dec-11,7.6,2,7,234.3,31.7,Estimated
Jan-12,7.3,2.1,10,140.4,49.9,Estimated
Feb-12,8.2,3.1,7,62.9,49.1,Estimated
Mar-12,12.8,5,1,43.8,145.5,Estimated
Apr-12,11.5,3.2,4,59.4,137.7,Estimated
May-12,16.1,6.5,1,62.5,227.5,Estimated
Jun-12,16.6,9.5,0,132.4,122,Estimated
Jul-12,18.1,11.2,0,124.4,128.9,Estimated
Aug-12,19.7,11.8,0,129.1,177.4,Estimated
Sep-12,15.3,8.9,0,111.3,130.5,Estimated
Oct-12,11.4,4.3,2,131,106.5,Estimated
Nov-12,8.8,3.1,4,135.3,73.1,Estimated
Dec-12,6.5,1.2,11,184,46.3,Estimated
Jan-13,6.2,2.2,7,135,35.4,Estimated
Feb-13,6.9,0.5,12,70.4,96.6,Estimated
Mar-13,6,0.2,15,29.5,93.1,Estimated
Apr-13,10.8,3.2,5,85.7,182.2,Estimated
May-13,14.6,6.4,1,93.6,177.8,Estimated
